operator,family,phs_order,poly_deg,eps,N,nrmse,build_time_s,apply_time_s,build_bytes
laplacian,PHS,3,1,0.0,225,1.0445223510948043,0.000191891,7.6e-7,1516272
laplacian,PHS,3,1,0.0,900,1.0650969322216277,0.000704021,3.24e-6,5686096
laplacian,PHS,3,1,0.0,2025,1.0561126847346964,0.001652543,6.71e-6,12777864
laplacian,PHS,3,1,0.0,4900,1.0446423484655776,0.004104737,2.189e-5,30885248
laplacian,PHS,3,3,0.0,225,0.03505699280907718,0.000769931,1.74e-6,9444360
laplacian,PHS,3,3,0.0,900,0.008254458331246075,0.002629495,7.52e-6,36866096
laplacian,PHS,3,3,0.0,2025,0.0034290524451383504,0.006165171,1.604e-5,82990056
laplacian,PHS,3,3,0.0,4900,0.0013875696963913298,0.015648768,6.325e-5,201225856
laplacian,PHS,3,4,0.0,225,0.006388988170527827,0.001220562,2.14e-6,17797544
laplacian,PHS,3,4,0.0,900,0.0006728860755080201,0.004749658,9.45e-6,71005840
laplacian,PHS,3,4,0.0,2025,0.00015503464213278232,0.011931492,2.46e-5,160633112
laplacian,PHS,3,4,0.0,4900,3.3478802310508984e-5,0.044409991,5.2641e-5,389414272
laplacian,IMQ,0,0,1.0,225,0.44014060209193906,0.00016798,7.5e-7,1104144
laplacian,IMQ,0,0,1.0,900,0.3825591463090821,0.000792191,3.74e-6,4145104
laplacian,IMQ,0,0,1.0,2025,0.402940428007608,0.001574603,5.65e-6,9318952
laplacian,IMQ,0,0,1.0,4900,0.39606391782040656,0.003447376,1.371e-5,22521328
laplacian,Gaussian,0,0,1.0,225,0.4421262902735384,0.00027857,8.0e-7,1120560
laplacian,Gaussian,0,0,1.0,900,0.38196682208636723,0.000633401,2.79e-6,4144784
laplacian,Gaussian,0,0,1.0,2025,0.4032053581559012,0.001656683,7.91e-6,9315240
laplacian,Gaussian,0,0,1.0,4900,0.3961265148405132,0.003567837,1.952e-5,22522128
laplacian,IMQ,0,1,1.0,225,0.22232242973853375,0.00019645,8.3e-7,1476672
laplacian,IMQ,0,1,1.0,900,0.11302094190971643,0.000777822,3.35e-6,5714304
laplacian,IMQ,0,1,1.0,2025,0.09144098617267744,0.001677553,6.48e-6,12844936
laplacian,IMQ,0,1,1.0,4900,0.06835850441069871,0.003957247,2.216e-5,31055200
laplacian,Gaussian,0,1,1.0,225,0.19459110973905455,0.00027319,8.2e-7,1500112
laplacian,Gaussian,0,1,1.0,900,0.10133630662257438,0.000748361,3.23e-6,5844256
laplacian,Gaussian,0,1,1.0,2025,0.08006282846645398,0.001557153,8.78e-6,13072632
laplacian,Gaussian,0,1,1.0,4900,0.057841225293999245,0.004325998,1.73e-5,31606464
laplacian,IMQ,0,2,1.0,225,0.018257624240384223,0.0003434,1.23e-6,2859496
laplacian,IMQ,0,2,1.0,900,0.0031475254249887,0.001337322,4.78e-6,10806624
laplacian,IMQ,0,2,1.0,2025,0.0012409166140926,0.003020525,1.383e-5,24514736
laplacian,IMQ,0,2,1.0,4900,0.0004619449656193368,0.006679042,2.786e-5,58770368
laplacian,Gaussian,0,2,1.0,225,0.014035208360408604,0.00035495,1.43e-6,2858168
laplacian,Gaussian,0,2,1.0,900,0.002487008993523445,0.001282122,5.4e-6,10816704
laplacian,Gaussian,0,2,1.0,2025,0.001012668359954088,0.003068125,1.138e-5,24330080
laplacian,Gaussian,0,2,1.0,4900,0.0004060380449426985,0.006978653,2.982e-5,58909824
laplacian,IMQ,0,3,1.0,225,0.0021702261332961054,0.000732652,1.81e-6,9535176
laplacian,IMQ,0,3,1.0,900,0.00017054038537728749,0.002747975,6.86e-6,36898288
laplacian,IMQ,0,3,1.0,2025,5.970443049857268e-5,0.006269962,1.603e-5,82990912
laplacian,IMQ,0,3,1.0,4900,0.0008590551204690877,0.016054409,4.024e-5,202677520
