operator,family,phs_order,poly_deg,eps,N,nrmse
laplacian,PHS,5,5,0.0,225,0.0012257693561285286
laplacian,PHS,5,5,0.0,400,0.0003116125795518289
laplacian,PHS,5,5,0.0,900,4.695815686829856e-5
laplacian,PHS,5,5,0.0,2025,9.371094736615016e-6
laplacian,PHS,5,5,0.0,4900,1.2802654057773643e-6
laplacian,PHS,7,3,0.0,100,0.0213001880114416
laplacian,PHS,7,3,0.0,225,0.007403944450217521
laplacian,PHS,7,3,0.0,400,0.004148510804230124
laplacian,PHS,7,3,0.0,900,0.0015780235706356143
laplacian,PHS,7,3,0.0,2025,0.0006533034551036278
laplacian,PHS,7,3,0.0,4900,0.00026678038483114036
laplacian,PHS,7,5,0.0,100,0.0062134573114946854
laplacian,PHS,7,5,0.0,225,0.0013421572237742325
laplacian,PHS,7,5,0.0,400,0.000383301878563991
laplacian,PHS,7,5,0.0,900,6.641120912670773e-5
laplacian,PHS,7,5,0.0,2025,1.303189445781317e-5
laplacian,PHS,7,5,0.0,4900,1.8554471478369652e-6
laplacian,PHS,7,6,0.0,100,0.0015360424870336949
laplacian,PHS,7,6,0.0,225,0.00015341806446847372
laplacian,PHS,7,6,0.0,400,3.31459504454234e-5
laplacian,PHS,7,6,0.0,900,4.095449513405587e-6
laplacian,PHS,7,6,0.0,2025,3.6180767234983886e-7
laplacian,PHS,7,6,0.0,4900,3.160904326916071e-8
laplacian,PHS,3,1,0.0,100,1.1044263388140594
laplacian,PHS,3,1,0.0,225,1.0445223510948043
laplacian,PHS,3,1,0.0,400,1.056132699220638
laplacian,PHS,3,1,0.0,900,1.0650969322216277
laplacian,PHS,3,1,0.0,2025,1.0561126847346964
laplacian,PHS,3,1,0.0,4900,1.0446423484655776
laplacian,PHS,3,3,0.0,100,0.09255230864170624
laplacian,PHS,3,3,0.0,225,0.03505699280907718
laplacian,PHS,3,3,0.0,400,0.020548563370881276
laplacian,PHS,3,3,0.0,900,0.008254458331246075
laplacian,PHS,3,3,0.0,2025,0.0034290524451383504
laplacian,PHS,3,3,0.0,4900,0.0013875696963913298
laplacian,PHS,3,4,0.0,100,0.023559421856145794
laplacian,PHS,3,4,0.0,225,0.006388988170527827
laplacian,PHS,3,4,0.0,400,0.002325178646845869
laplacian,PHS,3,4,0.0,900,0.0006728860755080201
laplacian,PHS,3,4,0.0,2025,0.00015503464213278232
laplacian,PHS,3,4,0.0,4900,3.3478802310508984e-5
laplacian,IMQ,0,0,1.0,100,0.42441325668075486
laplacian,IMQ,0,0,1.0,225,0.44014060209193906
laplacian,IMQ,0,0,1.0,400,0.41507206438586747
laplacian,IMQ,0,0,1.0,900,0.3825591463090821
laplacian,IMQ,0,0,1.0,2025,0.402940428007608
laplacian,IMQ,0,0,1.0,4900,0.39606391782040656
laplacian,Gaussian,0,0,1.0,100,0.42618918426047314
laplacian,Gaussian,0,0,1.0,225,0.4421262902735384
laplacian,Gaussian,0,0,1.0,400,0.4160438288700191
laplacian,Gaussian,0,0,1.0,900,0.38196682208636723
laplacian,Gaussian,0,0,1.0,2025,0.4032053581559012
laplacian,Gaussian,0,0,1.0,4900,0.3961265148405132
laplacian,IMQ,0,1,1.0,100,0.24322537302116168
laplacian,IMQ,0,1,1.0,225,0.22232242973853375
laplacian,IMQ,0,1,1.0,400,0.14728533624214832
laplacian,IMQ,0,1,1.0,900,0.11302094190971643
laplacian,IMQ,0,1,1.0,2025,0.09144098617267744
laplacian,IMQ,0,1,1.0,4900,0.06835850441069871
laplacian,Gaussian,0,1,1.0,100,0.22733427662451272
laplacian,Gaussian,0,1,1.0,225,0.19459110973905455
laplacian,Gaussian,0,1,1.0,400,0.11970274668559153
laplacian,Gaussian,0,1,1.0,900,0.10133630662257438
laplacian,Gaussian,0,1,1.0,2025,0.08006282846645398
laplacian,Gaussian,0,1,1.0,4900,0.057841225293999245
laplacian,IMQ,0,2,1.0,100,0.0489429213696245
laplacian,IMQ,0,2,1.0,225,0.018257624240384223
laplacian,IMQ,0,2,1.0,400,0.009094665026266232
laplacian,IMQ,0,2,1.0,900,0.0031475254249887
laplacian,IMQ,0,2,1.0,2025,0.0012409166140926
laplacian,IMQ,0,2,1.0,4900,0.0004619449656193368
laplacian,Gaussian,0,2,1.0,100,0.039115465208676224
laplacian,Gaussian,0,2,1.0,225,0.014035208360408604
laplacian,Gaussian,0,2,1.0,400,0.006478273882132725
laplacian,Gaussian,0,2,1.0,900,0.002487008993523445
laplacian,Gaussian,0,2,1.0,2025,0.001012668359954088
laplacian,Gaussian,0,2,1.0,4900,0.0004060380449426985
laplacian,IMQ,0,3,1.0,100,0.012832247283741443
laplacian,IMQ,0,3,1.0,225,0.0021702261332961054
laplacian,IMQ,0,3,1.0,400,0.0010863609889125193
laplacian,IMQ,0,3,1.0,900,0.00017054038537728749
laplacian,IMQ,0,3,1.0,2025,5.970443049857268e-5
laplacian,IMQ,0,3,1.0,4900,0.0008590551204690877
laplacian,Gaussian,0,3,1.0,100,0.006209751791937141
laplacian,Gaussian,0,3,1.0,225,0.0014974027964655304
laplacian,Gaussian,0,3,1.0,400,0.0006198066381734955
laplacian,Gaussian,0,3,1.0,900,0.00012538288681421692
laplacian,Gaussian,0,3,1.0,2025,0.00016426969948628536
laplacian,Gaussian,0,3,1.0,4900,0.0008943899420423041
laplacian,IMQ,0,4,1.0,100,0.0035191428078610648
laplacian,IMQ,0,4,1.0,225,0.00039191466484456323
laplacian,IMQ,0,4,1.0,400,0.00010752417895187727
laplacian,IMQ,0,4,1.0,900,2.4588239185701114e-5
laplacian,IMQ,0,4,1.0,2025,5.5513019200133307e-5
laplacian,IMQ,0,4,1.0,4900,0.0006170320672934669
laplacian,Gaussian,0,4,1.0,100,0.0004282237051957037
laplacian,Gaussian,0,4,1.0,225,6.244610102610333e-5
laplacian,Gaussian,0,4,1.0,400,4.1118830325398236e-5
laplacian,Gaussian,0,4,1.0,900,0.0002662353246794887
laplacian,Gaussian,0,4,1.0,2025,0.0004253253474010421
laplacian,Gaussian,0,4,1.0,4900,0.0014879458892382723
gradient,PHS,1,1,0.0,100,0.09606315176025178
gradient,PHS,1,1,0.0,225,0.05407059159094155
gradient,PHS,1,1,0.0,400,0.03726477777222381
gradient,PHS,1,1,0.0,900,0.02205200467512509
gradient,PHS,1,1,0.0,2025,0.014044400259247788
gradient,PHS,1,1,0.0,4900,0.008682644827850354
gradient,PHS,3,2,0.0,100,0.022248238963154962
gradient,PHS,3,2,0.0,225,0.007458551510484316
gradient,PHS,3,2,0.0,400,0.00397603237583967
gradient,PHS,3,2,0.0,900,0.0014587030815723147
gradient,PHS,3,2,0.0,2025,0.0005972407549646496
gradient,PHS,3,2,0.0,4900,0.00022982143010973213
gradient,PHS,5,3,0.0,100,0.004257388745381604
gradient,PHS,5,3,0.0,225,0.0009633289798386674
gradient,PHS,5,3,0.0,400,0.000405899233631161
gradient,PHS,5,3,0.0,900,9.61345941670555e-5
gradient,PHS,5,3,0.0,2025,2.309167051649148e-5
gradient,PHS,5,3,0.0,4900,5.387277563710629e-6
gradient,PHS,7,4,0.0,100,0.0010996922194435703
gradient,PHS,7,4,0.0,225,0.00015829123114088266
gradient,PHS,7,4,0.0,400,4.550775039164087e-5
gradient,PHS,7,4,0.0,900,7.083093617022766e-6
gradient,PHS,7,4,0.0,2025,1.139179196273562e-6
gradient,PHS,7,4,0.0,4900,1.748820297140601e-7
gradient,PHS,5,2,0.0,100,0.01424838191293459
gradient,PHS,5,2,0.0,225,0.004825757942364639
gradient,PHS,5,2,0.0,400,0.0025549925334223717
gradient,PHS,5,2,0.0,900,0.0009116606701687075
gradient,PHS,5,2,0.0,2025,0.0003686710738533548
gradient,PHS,5,2,0.0,4900,0.0001384735599823703
gradient,PHS,5,4,0.0,100,0.0016150647424606052
gradient,PHS,5,4,0.0,225,0.00024292319459415799
gradient,PHS,5,4,0.0,400,6.805721949358116e-5
gradient,PHS,5,4,0.0,900,1.1857520241292244e-5
gradient,PHS,5,4,0.0,2025,1.7956484907713187e-6
gradient,PHS,5,4,0.0,4900,2.6011473318985744e-7
gradient,PHS,5,5,0.0,100,0.0005636593751926531
gradient,PHS,5,5,0.0,225,5.9614539441248e-5
gradient,PHS,5,5,0.0,400,1.149234489652628e-5
gradient,PHS,5,5,0.0,900,9.504591102240929e-7
gradient,PHS,5,5,0.0,2025,1.3108958489563953e-7
gradient,PHS,5,5,0.0,4900,1.1637878772623044e-8
gradient,PHS,7,3,0.0,100,0.0022502937624230513
gradient,PHS,7,3,0.0,225,0.0004949868220924019
gradient,PHS,7,3,0.0,400,0.00020735815185571107
gradient,PHS,7,3,0.0,900,4.581681515002253e-5
gradient,PHS,7,3,0.0,2025,1.153023564022562e-5
gradient,PHS,7,3,0.0,4900,2.9416523794764013e-6
gradient,PHS,7,5,0.0,100,0.0003249192055140253
gradient,PHS,7,5,0.0,225,3.5526953932525316e-5
gradient,PHS,7,5,0.0,400,6.787940203023114e-6
gradient,PHS,7,5,0.0,900,5.890823256719879e-7
gradient,PHS,7,5,0.0,2025,7.748868823127485e-8
gradient,PHS,7,5,0.0,4900,6.680790659020983e-9
gradient,PHS,7,6,0.0,100,0.00013240301093752924
gradient,PHS,7,6,0.0,225,7.292449242529838e-6
gradient,PHS,7,6,0.0,400,1.1747800057268194e-6
gradient,PHS,7,6,0.0,900,1.0541242364308149e-7
gradient,PHS,7,6,0.0,2025,5.885411912315115e-9
gradient,PHS,7,6,0.0,4900,3.509501482930897e-10
gradient,PHS,3,1,0.0,100,0.07493252432821682
gradient,PHS,3,1,0.0,225,0.04255274033031231
gradient,PHS,3,1,0.0,400,0.030188758196073955
gradient,PHS,3,1,0.0,900,0.01708919613634686
gradient,PHS,3,1,0.0,2025,0.010694671005452345
gradient,PHS,3,1,0.0,4900,0.006528911001589414
gradient,PHS,3,3,0.0,100,0.006093454057122373
gradient,PHS,3,3,0.0,225,0.0013283004028302615
gradient,PHS,3,3,0.0,400,0.0005847980971217839
gradient,PHS,3,3,0.0,900,0.0001366619351630193
gradient,PHS,3,3,0.0,2025,3.1659844180646966e-5
gradient,PHS,3,3,0.0,4900,7.1681554744114135e-6
gradient,PHS,3,4,0.0,100,0.0020555809454567177
gradient,PHS,3,4,0.0,225,0.0003322821570927641
gradient,PHS,3,4,0.0,400,9.065274449350454e-5
gradient,PHS,3,4,0.0,900,1.88544423784037e-5
gradient,PHS,3,4,0.0,2025,2.688476865051809e-6
gradient,PHS,3,4,0.0,4900,3.3759049603291156e-7
gradient,IMQ,0,0,1.0,100,0.08733189289245023
gradient,IMQ,0,0,1.0,225,0.054571314177775436
gradient,IMQ,0,0,1.0,400,0.03839497152722759
gradient,IMQ,0,0,1.0,900,0.022744738348490265
gradient,IMQ,0,0,1.0,2025,0.015549476329280453
gradient,IMQ,0,0,1.0,4900,0.009938364508159344
gradient,Gaussian,0,0,1.0,100,0.08757096877524095
gradient,Gaussian,0,0,1.0,225,0.054748663802111554
gradient,Gaussian,0,0,1.0,400,0.038421874065398647
gradient,Gaussian,0,0,1.0,900,0.022652022247872158
gradient,Gaussian,0,0,1.0,2025,0.01555569895275665
gradient,Gaussian,0,0,1.0,4900,0.009939526518361821
gradient,IMQ,0,1,1.0,100,0.05134485461269366
gradient,IMQ,0,1,1.0,225,0.026519323622664757
gradient,IMQ,0,1,1.0,400,0.013686540268184067
gradient,IMQ,0,1,1.0,900,0.007069949761497934
gradient,IMQ,0,1,1.0,2025,0.003335995923236415
gradient,IMQ,0,1,1.0,4900,0.0015858488703014346
gradient,Gaussian,0,1,1.0,100,0.048071916742374814
gradient,Gaussian,0,1,1.0,225,0.02353448096584576
gradient,Gaussian,0,1,1.0,400,0.011055393948591459
gradient,Gaussian,0,1,1.0,900,0.006279799953559227
gradient,Gaussian,0,1,1.0,2025,0.002978167757924558
gradient,Gaussian,0,1,1.0,4900,0.0013533087696264846
gradient,IMQ,0,2,1.0,100,0.006621414771109747
gradient,IMQ,0,2,1.0,225,0.001659904836128315
gradient,IMQ,0,2,1.0,400,0.0006605387358427225
gradient,IMQ,0,2,1.0,900,0.00015447948369781326
gradient,IMQ,0,2,1.0,2025,4.3495041711573895e-5
gradient,IMQ,0,2,1.0,4900,1.1188756987073706e-5
gradient,Gaussian,0,2,1.0,100,0.00521977253648414
gradient,Gaussian,0,2,1.0,225,0.0012829161658931036
gradient,Gaussian,0,2,1.0,400,0.0004889996227985275
gradient,Gaussian,0,2,1.0,900,0.0001266208985842313
gradient,Gaussian,0,2,1.0,2025,3.5753188565815484e-5
gradient,Gaussian,0,2,1.0,4900,9.905829573291467e-6
gradient,IMQ,0,3,1.0,100,0.0013739202061121242
gradient,IMQ,0,3,1.0,225,0.00014023949023536593
