operator,family,poly_deg,eps,N,nrmse,cond_est
gradient,IMQ,2,3.0100341895821345,900,0.0004468293046203899,NaN
gradient,IMQ,2,4.393970560760792,900,0.0006310394320123733,NaN
gradient,IMQ,2,6.414205312236928,900,0.0008717992578406428,NaN
gradient,IMQ,2,9.363292088239415,900,0.0011691473309482568,NaN
gradient,IMQ,2,13.668293180829261,900,0.0014493380895999272,NaN
gradient,IMQ,2,19.952623149688797,900,0.0016208473181266935,NaN
gradient,Gaussian,2,0.1,900,0.004855343410803362,NaN
gradient,Gaussian,2,0.14597743028861676,900,0.0037258907761663555,NaN
gradient,Gaussian,2,0.21309410153667974,900,0.009050648528356348,NaN
gradient,Gaussian,2,0.3110692935198609,900,0.0001984941287692874,NaN
gradient,Gaussian,2,0.4540909610972476,900,0.00012544865535027595,NaN
gradient,Gaussian,2,0.6628703161826445,900,0.0001250593679063435,NaN
gradient,Gaussian,2,0.9676410537094535,900,0.00012629028106131876,NaN
gradient,Gaussian,2,1.4125375446227544,900,0.00013532232173046194,NaN
gradient,Gaussian,2,2.06198600950222,900,0.00016622953911271565,NaN
gradient,Gaussian,2,3.0100341895821345,900,0.0002351684533961724,NaN
gradient,Gaussian,2,4.393970560760792,900,0.0003510947895309939,NaN
gradient,Gaussian,2,6.414205312236928,900,0.0005167355944460869,NaN
gradient,Gaussian,2,9.363292088239415,900,0.0007474065022947987,NaN
gradient,Gaussian,2,13.668293180829261,900,0.0011113581182467277,NaN
gradient,Gaussian,2,19.952623149688797,900,0.0016057914872501541,NaN
laplacian_polysweep,IMQ,0,0.1,900,0.38220702789263084,NaN
laplacian_polysweep,IMQ,0,0.14597743028861676,900,0.3822104960070913,NaN
laplacian_polysweep,IMQ,0,0.21309410153667974,900,0.3822216727267008,NaN
laplacian_polysweep,IMQ,0,0.3110692935198609,900,0.38225601062796444,NaN
laplacian_polysweep,IMQ,0,0.4540909610972476,900,0.38233098656235387,NaN
laplacian_polysweep,IMQ,0,0.6628703161826445,900,0.38242329447040363,NaN
laplacian_polysweep,IMQ,0,0.9676410537094535,900,0.382536200051724,NaN
laplacian_polysweep,IMQ,0,1.4125375446227544,900,0.3834515197145428,NaN
laplacian_polysweep,IMQ,0,2.06198600950222,900,0.38945443971596044,NaN
laplacian_polysweep,IMQ,0,3.0100341895821345,900,0.41773293743341167,NaN
laplacian_polysweep,IMQ,0,4.393970560760792,900,0.5245323912917046,NaN
laplacian_polysweep,IMQ,0,6.414205312236928,900,0.8303798654049507,NaN
laplacian_polysweep,IMQ,0,9.363292088239415,900,1.4977999847348178,NaN
laplacian_polysweep,IMQ,0,13.668293180829261,900,2.7070020787298246,NaN
laplacian_polysweep,IMQ,0,19.952623149688797,900,4.639842020700352,NaN
laplacian_polysweep,IMQ,1,0.1,900,0.1207840265540448,NaN
laplacian_polysweep,IMQ,1,0.14597743028861676,900,0.10755912808320903,NaN
laplacian_polysweep,IMQ,1,0.21309410153667974,900,0.09646752147647404,NaN
laplacian_polysweep,IMQ,1,0.3110692935198609,900,0.09192403593164668,NaN
laplacian_polysweep,IMQ,1,0.4540909610972476,900,0.09486147217897914,NaN
laplacian_polysweep,IMQ,1,0.6628703161826445,900,0.10239660949706104,NaN
laplacian_polysweep,IMQ,1,0.9676410537094535,900,0.11207314076898627,NaN
laplacian_polysweep,IMQ,1,1.4125375446227544,900,0.12478593113460662,NaN
laplacian_polysweep,IMQ,1,2.06198600950222,900,0.14331241788275617,NaN
laplacian_polysweep,IMQ,1,3.0100341895821345,900,0.1690827371435597,NaN
laplacian_polysweep,IMQ,1,4.393970560760792,900,0.2022581718449505,NaN
laplacian_polysweep,IMQ,1,6.414205312236928,900,0.2456668233669744,NaN
laplacian_polysweep,IMQ,1,9.363292088239415,900,0.3112677011378038,NaN
laplacian_polysweep,IMQ,1,13.668293180829261,900,0.42470376061275256,NaN
laplacian_polysweep,IMQ,1,19.952623149688797,900,0.6171038258451843,NaN
laplacian_polysweep,IMQ,2,0.1,900,0.12143676757017534,NaN
laplacian_polysweep,IMQ,2,0.14597743028861676,900,0.08788910950773221,NaN
laplacian_polysweep,IMQ,2,0.21309410153667974,900,0.00727684548194089,NaN
laplacian_polysweep,IMQ,2,0.3110692935198609,900,0.0024510407817006866,NaN
laplacian_polysweep,IMQ,2,0.4540909610972476,900,0.002464423468793238,NaN
laplacian_polysweep,IMQ,2,0.6628703161826445,900,0.0025746931325857612,NaN
laplacian_polysweep,IMQ,2,0.9676410537094535,900,0.0030725383460116175,NaN
laplacian_polysweep,IMQ,2,1.4125375446227544,900,0.0043496290652196064,NaN
laplacian_polysweep,IMQ,2,2.06198600950222,900,0.006619430589647626,NaN
laplacian_polysweep,IMQ,2,3.0100341895821345,900,0.009784959205642239,NaN
laplacian_polysweep,IMQ,2,4.393970560760792,900,0.013699763515333665,NaN
laplacian_polysweep,IMQ,2,6.414205312236928,900,0.018597322897031445,NaN
laplacian_polysweep,IMQ,2,9.363292088239415,900,0.024617427312480764,NaN
laplacian_polysweep,IMQ,2,13.668293180829261,900,0.03166453815366123,NaN
laplacian_polysweep,IMQ,2,19.952623149688797,900,0.04034700503728759,NaN
laplacian_polysweep,IMQ,3,0.1,900,0.38651936658798214,NaN
laplacian_polysweep,IMQ,3,0.14597743028861676,900,0.06621856632987846,NaN
laplacian_polysweep,IMQ,3,0.21309410153667974,900,0.017542481493257506,NaN
laplacian_polysweep,IMQ,3,0.3110692935198609,900,0.003380890730254543,NaN
laplacian_polysweep,IMQ,3,0.4540909610972476,900,0.0011982907919243706,NaN
laplacian_polysweep,IMQ,3,0.6628703161826445,900,0.00020233987788820443,NaN
laplacian_polysweep,IMQ,3,0.9676410537094535,900,0.00016654814950486883,NaN
laplacian_polysweep,IMQ,3,1.4125375446227544,900,0.00023713094452720528,NaN
laplacian_polysweep,IMQ,3,2.06198600950222,900,0.0003904306787191447,NaN
laplacian_polysweep,IMQ,3,3.0100341895821345,900,0.0006815001698206716,NaN
laplacian_polysweep,IMQ,3,4.393970560760792,900,0.0011599976570224398,NaN
laplacian_polysweep,IMQ,3,6.414205312236928,900,0.0018487496608062238,NaN
laplacian_polysweep,IMQ,3,9.363292088239415,900,0.0026614742921714295,NaN
laplacian_polysweep,IMQ,3,13.668293180829261,900,0.003469032124859523,NaN
laplacian_polysweep,IMQ,3,19.952623149688797,900,0.004299309799017154,NaN
laplacian_polysweep,IMQ,4,0.1,900,0.008726704686425463,NaN
laplacian_polysweep,IMQ,4,0.14597743028861676,900,0.035935304767680344,NaN
laplacian_polysweep,IMQ,4,0.21309410153667974,900,0.017730518424090687,NaN
laplacian_polysweep,IMQ,4,0.3110692935198609,900,0.013771048522833016,NaN
laplacian_polysweep,IMQ,4,0.4540909610972476,900,0.0009529860427649554,NaN
laplacian_polysweep,IMQ,4,0.6628703161826445,900,0.00021576710827467342,NaN
laplacian_polysweep,IMQ,4,0.9676410537094535,900,9.456084677031001e-5,NaN
laplacian_polysweep,IMQ,4,1.4125375446227544,900,2.4155509797699083e-5,NaN
laplacian_polysweep,IMQ,4,2.06198600950222,900,4.251441782054516e-5,NaN
laplacian_polysweep,IMQ,4,3.0100341895821345,900,7.877569120962433e-5,NaN
laplacian_polysweep,IMQ,4,4.393970560760792,900,0.00014075466383998753,NaN
laplacian_polysweep,IMQ,4,6.414205312236928,900,0.00022627242871312925,NaN
laplacian_polysweep,IMQ,4,9.363292088239415,900,0.00033311124595472184,NaN
laplacian_polysweep,IMQ,4,13.668293180829261,900,0.0004644496480980998,NaN
laplacian_polysweep,IMQ,4,19.952623149688797,900,0.0006088702160257268,NaN
laplacian_polysweep,Gaussian,0,0.1,900,0.3821985226775935,NaN
laplacian_polysweep,Gaussian,0,0.14597743028861676,900,0.382189651774748,NaN
laplacian_polysweep,Gaussian,0,0.21309410153667974,900,0.38217204961731205,NaN
laplacian_polysweep,Gaussian,0,0.3110692935198609,900,0.3821385000764558,NaN
laplacian_polysweep,Gaussian,0,0.4540909610972476,900,0.3820819365100885,NaN
laplacian_polysweep,Gaussian,0,0.6628703161826445,900,0.38200682905697986,NaN
