x,y,elevation
.653061,.081632,3751.073974609
.673469,.081632,3704.530273438
.693877,.081632,3696.482910156
.714285,.081632,3673.185546875
.734693,.081632,3667.363281250
.755102,.081632,3635.440429688
.775510,.081632,3619.333984375
.795918,.081632,3617.505371094
.816326,.081632,3619.608154297
.836734,.081632,3576.363525391
.857142,.081632,3534.254394531
.877551,.081632,3453.531982422
.897959,.081632,3435.297851562
.918367,.081632,3342.486572266
.938775,.081632,3321.091064453
.959183,.081632,3320.869384766
.979591,.081632,3317.205566406
1.000000,.081632,3306.370361328
0,.102040,3591.669677734
.020408,.102040,3659.369628906
.040816,.102040,3709.863037109
.061224,.102040,3763.356689453
.081632,.102040,3792.523437500
.102040,.102040,3826.409179688
.122448,.102040,3848.364746094
.142857,.102040,3861.608154297
.163265,.102040,3861.410400391
.183673,.102040,3856.058593750
.204081,.102040,3843.908203125
.224489,.102040,3827.835693359
.244897,.102040,3763.185791016
.265306,.102040,3740.749267578
.285714,.102040,3731.319335938
.306122,.102040,3772.926025391
.326530,.102040,3818.547607422
.346938,.102040,3845.697021484
.367346,.102040,3806.811767578
.387755,.102040,3805.658691406
.408163,.102040,3812.071777344
.428571,.102040,3815.011962891
.448979,.102040,3819.611572266
.469387,.102040,3827.951904297
.489795,.102040,3832.149658203
.510204,.102040,3840.656005859
.530612,.102040,3853.034423828
.551020,.102040,3873.500732422
.571428,.102040,3870.499267578
.591836,.102040,3854.062500000
.612244,.102040,3838.267089844
.632653,.102040,3823.558593750
.653061,.102040,3769.089111328
.673469,.102040,3760.100585938
.693877,.102040,3718.359863281
.714285,.102040,3704.429687500
.734693,.102040,3694.362060547
.755102,.102040,3673.214843750
.775510,.102040,3673.203125000
.795918,.102040,3665.751708984
.816326,.102040,3645.549560547
.836734,.102040,3587.545654297
.857142,.102040,3543.956787109
.877551,.102040,3492.732177734
.897959,.102040,3430.972656250
.918367,.102040,3369.602783203
.938775,.102040,3349.358886719
.959183,.102040,3354.600341797
.979591,.102040,3344.537597656
1.000000,.102040,3332.306396484
0,.122448,3616.245605469
.020408,.122448,3649.722412109
.040816,.122448,3719.977294922
.061224,.122448,3757.454101562
.081632,.122448,3812.430419922
.102040,.122448,3858.442626953
.122448,.122448,3907.276855469
.142857,.122448,3919.308837891
.163265,.122448,3917.763671875
.183673,.122448,3917.369628906
.204081,.122448,3907.425048828
.224489,.122448,3840.580566406
.244897,.122448,3819.984619141
.265306,.122448,3798.049560547
.285714,.122448,3814.302978516
.306122,.122448,3835.078857422
.326530,.122448,3877.582519531
.346938,.122448,3890.853759766
.367346,.122448,3875.981445312
.387755,.122448,3855.379638672
.408163,.122448,3851.389892578
.428571,.122448,3853.976806641
.448979,.122448,3856.398193359
.469387,.122448,3856.900878906
.489795,.122448,3859.243652344
.510204,.122448,3867.234130859
.530612,.122448,3881.909912109
.551020,.122448,3916.125244141
.571428,.122448,3919.312011719
.591836,.122448,3899.369628906
.612244,.122448,3878.650390625
.632653,.122448,3854.299316406
.653061,.122448,3804.466064453
.673469,.122448,3781.829833984
.693877,.122448,3742.966064453
.714285,.122448,3733.690917969
.734693,.122448,3726.311035156
.755102,.122448,3716.928955078
.775510,.122448,3718.359130859
.795918,.122448,3703.229248047
.816326,.122448,3676.925292969
.836734,.122448,3649.867919922
.857142,.122448,3589.864501953
.877551,.122448,3518.489746094
.897959,.122448,3483.854003906
.918367,.122448,3405.664794922
.938775,.122448,3394.168457031
.959183,.122448,3386.579101562
.979591,.122448,3373.423583984
1.000000,.122448,3361.624267578
0,.142857,3671.260009766
.020408,.142857,3681.834228516
.040816,.142857,3731.927246094
.061224,.142857,3790.993652344
.081632,.142857,3832.473144531
.102040,.142857,3869.130126953
.122448,.142857,3906.897460938
.142857,.142857,3950.939208984
.163265,.142857,3966.093750000
.183673,.142857,3965.982910156
.204081,.142857,3960.075927734
.224489,.142857,3929.849853516
.244897,.142857,3890.808837891
.265306,.142857,3876.239501953
.285714,.142857,3888.226074219
.306122,.142857,3893.026855469
.326530,.142857,3912.532226562
.346938,.142857,3940.342285156
.367346,.142857,3923.692382812
.387755,.142857,3914.285644531
.408163,.142857,3898.910888672
